"","subject","race","outcome"
"1",2565,"Black","Struck"
"2",201,"Black","Accepted"
"3",2936,"Not Black","Accepted"
"4",5894,"Not Black","Accepted"
"5",4302,"Not Black","Accepted"
"6",4411,"Not Black","Accepted"
"7",2142,"Black","Struck"
"8",2155,"Black","Struck"
"9",7277,"Not Black","Accepted"
"10",103,"Black","Accepted"
"11",5170,"Not Black","Accepted"
"12",7423,"Not Black","Accepted"
"13",218,"Black","Accepted"
"14",7902,"Not Black","Struck"
"15",2670,"Black","Struck"
"16",5630,"Not Black","Accepted"
"17",1872,"Black","Struck"
"18",5395,"Not Black","Accepted"
"19",4207,"Not Black","Accepted"
"20",6851,"Not Black","Accepted"
"21",1366,"Black","Accepted"
"22",3747,"Not Black","Accepted"
"23",289,"Black","Accepted"
"24",1373,"Black","Accepted"
"25",2433,"Black","Struck"
"26",7684,"Not Black","Struck"
"27",1518,"Black","Accepted"
"28",3439,"Not Black","Accepted"
"29",2388,"Black","Struck"
"30",4410,"Not Black","Accepted"
"31",4448,"Not Black","Accepted"
"32",7758,"Not Black","Struck"
"33",867,"Black","Accepted"
"34",2851,"Black","Struck"
"35",906,"Black","Accepted"
"36",737,"Black","Accepted"
"37",4699,"Not Black","Accepted"
"38",987,"Black","Accepted"
"39",8014,"Not Black","Struck"
"40",3573,"Not Black","Accepted"
"41",5953,"Not Black","Accepted"
"42",3448,"Not Black","Accepted"
"43",4773,"Not Black","Accepted"
"44",3253,"Not Black","Accepted"
"45",1713,"Black","Struck"
"46",3943,"Not Black","Accepted"
"47",5844,"Not Black","Accepted"
"48",4724,"Not Black","Accepted"
"49",1288,"Black","Accepted"
"50",4823,"Not Black","Accepted"
"51",7234,"Not Black","Accepted"
"52",3889,"Not Black","Accepted"
"53",7060,"Not Black","Accepted"
"54",5702,"Not Black","Accepted"
"55",3557,"Not Black","Accepted"
"56",2304,"Black","Struck"
"57",6734,"Not Black","Accepted"
"58",8262,"Not Black","Struck"
"59",7441,"Not Black","Accepted"
"60",7638,"Not Black","Struck"
"61",8246,"Not Black","Struck"
"62",5657,"Not Black","Accepted"
"63",4487,"Not Black","Accepted"
"64",4709,"Not Black","Accepted"
"65",2939,"Not Black","Accepted"
"66",3511,"Not Black","Accepted"
"67",3405,"Not Black","Accepted"
"68",7834,"Not Black","Struck"
"69",6926,"Not Black","Accepted"
"70",3320,"Not Black","Accepted"
"71",1112,"Black","Accepted"
"72",1251,"Black","Accepted"
"73",5775,"Not Black","Accepted"
"74",6214,"Not Black","Accepted"
"75",7582,"Not Black","Struck"
"76",4563,"Not Black","Accepted"
"77",5890,"Not Black","Accepted"
"78",7611,"Not Black","Struck"
"79",4997,"Not Black","Accepted"
"80",4137,"Not Black","Accepted"
"81",3559,"Not Black","Accepted"
"82",5604,"Not Black","Accepted"
"83",2316,"Black","Struck"
"84",639,"Black","Accepted"
"85",6670,"Not Black","Accepted"
"86",7994,"Not Black","Struck"
"87",8175,"Not Black","Struck"
"88",6052,"Not Black","Accepted"
"89",1775,"Black","Struck"
"90",2029,"Black","Struck"
"91",3462,"Not Black","Accepted"
"92",6655,"Not Black","Accepted"
"93",958,"Black","Accepted"
"94",6230,"Not Black","Accepted"
"95",2884,"Black","Struck"
"96",7965,"Not Black","Struck"
"97",3454,"Not Black","Accepted"
"98",7958,"Not Black","Struck"
"99",8263,"Not Black","Struck"
"100",1570,"Black","Accepted"
