"","subject","race","outcome"
"1",1,"Black","Accepted"
"2",2,"Black","Accepted"
"3",3,"Black","Accepted"
"4",4,"Black","Accepted"
"5",5,"Black","Accepted"
"6",6,"Black","Accepted"
"7",7,"Black","Accepted"
"8",8,"Black","Accepted"
"9",9,"Black","Accepted"
"10",10,"Black","Accepted"
"11",11,"Black","Accepted"
"12",12,"Black","Accepted"
"13",13,"Black","Accepted"
"14",14,"Black","Accepted"
"15",15,"Black","Accepted"
"16",16,"Black","Accepted"
"17",17,"Black","Accepted"
"18",18,"Black","Accepted"
"19",19,"Black","Accepted"
"20",20,"Black","Accepted"
"21",21,"Black","Accepted"
"22",22,"Black","Accepted"
"23",23,"Black","Accepted"
"24",24,"Black","Accepted"
"25",25,"Black","Accepted"
"26",26,"Black","Accepted"
"27",27,"Black","Accepted"
"28",28,"Black","Accepted"
"29",29,"Black","Accepted"
"30",30,"Black","Accepted"
"31",31,"Black","Accepted"
"32",32,"Black","Accepted"
"33",33,"Black","Accepted"
"34",34,"Black","Accepted"
"35",35,"Black","Accepted"
"36",36,"Black","Accepted"
"37",37,"Black","Accepted"
"38",38,"Black","Accepted"
"39",39,"Black","Accepted"
"40",40,"Black","Accepted"
"41",41,"Black","Accepted"
"42",42,"Black","Accepted"
"43",43,"Black","Accepted"
"44",44,"Black","Accepted"
"45",45,"Black","Accepted"
"46",46,"Black","Accepted"
"47",47,"Black","Accepted"
"48",48,"Black","Accepted"
"49",49,"Black","Accepted"
"50",50,"Black","Accepted"
"51",51,"Black","Accepted"
"52",52,"Black","Accepted"
"53",53,"Black","Accepted"
"54",54,"Black","Accepted"
"55",55,"Black","Accepted"
"56",56,"Black","Accepted"
"57",57,"Black","Accepted"
"58",58,"Black","Accepted"
"59",59,"Black","Accepted"
"60",60,"Black","Accepted"
"61",61,"Black","Accepted"
"62",62,"Black","Accepted"
"63",63,"Black","Accepted"
"64",64,"Black","Accepted"
"65",65,"Black","Accepted"
"66",66,"Black","Accepted"
"67",67,"Black","Accepted"
"68",68,"Black","Accepted"
"69",69,"Black","Accepted"
"70",70,"Black","Accepted"
"71",71,"Black","Accepted"
"72",72,"Black","Accepted"
"73",73,"Black","Accepted"
"74",74,"Black","Accepted"
"75",75,"Black","Accepted"
"76",76,"Black","Accepted"
"77",77,"Black","Accepted"
"78",78,"Black","Accepted"
"79",79,"Black","Accepted"
"80",80,"Black","Accepted"
"81",81,"Black","Accepted"
"82",82,"Black","Accepted"
"83",83,"Black","Accepted"
"84",84,"Black","Accepted"
"85",85,"Black","Accepted"
"86",86,"Black","Accepted"
"87",87,"Black","Accepted"
"88",88,"Black","Accepted"
"89",89,"Black","Accepted"
"90",90,"Black","Accepted"
"91",91,"Black","Accepted"
"92",92,"Black","Accepted"
"93",93,"Black","Accepted"
"94",94,"Black","Accepted"
"95",95,"Black","Accepted"
"96",96,"Black","Accepted"
"97",97,"Black","Accepted"
"98",98,"Black","Accepted"
"99",99,"Black","Accepted"
"100",100,"Black","Accepted"
"101",101,"Black","Accepted"
"102",102,"Black","Accepted"
"103",103,"Black","Accepted"
"104",104,"Black","Accepted"
"105",105,"Black","Accepted"
"106",106,"Black","Accepted"
"107",107,"Black","Accepted"
"108",108,"Black","Accepted"
"109",109,"Black","Accepted"
"110",110,"Black","Accepted"
"111",111,"Black","Accepted"
"112",112,"Black","Accepted"
"113",113,"Black","Accepted"
"114",114,"Black","Accepted"
"115",115,"Black","Accepted"
"116",116,"Black","Accepted"
"117",117,"Black","Accepted"
"118",118,"Black","Accepted"
"119",119,"Black","Accepted"
"120",120,"Black","Accepted"
"121",121,"Black","Accepted"
"122",122,"Black","Accepted"
"123",123,"Black","Accepted"
"124",124,"Black","Accepted"
"125",125,"Black","Accepted"
"126",126,"Black","Accepted"
"127",127,"Black","Accepted"
"128",128,"Black","Accepted"
"129",129,"Black","Accepted"
"130",130,"Black","Accepted"
"131",131,"Black","Accepted"
"132",132,"Black","Accepted"
"133",133,"Black","Accepted"
"134",134,"Black","Accepted"
"135",135,"Black","Accepted"
"136",136,"Black","Accepted"
"137",137,"Black","Accepted"
"138",138,"Black","Accepted"
"139",139,"Black","Accepted"
"140",140,"Black","Accepted"
"141",141,"Black","Accepted"
"142",142,"Black","Accepted"
"143",143,"Black","Accepted"
"144",144,"Black","Accepted"
"145",145,"Black","Accepted"
"146",146,"Black","Accepted"
"147",147,"Black","Accepted"
"148",148,"Black","Accepted"
"149",149,"Black","Accepted"
"150",150,"Black","Accepted"
"151",151,"Black","Accepted"
"152",152,"Black","Accepted"
"153",153,"Black","Accepted"
"154",154,"Black","Accepted"
"155",155,"Black","Accepted"
"156",156,"Black","Accepted"
"157",157,"Black","Accepted"
"158",158,"Black","Accepted"
"159",159,"Black","Accepted"
"160",160,"Black","Accepted"
"161",161,"Black","Accepted"
"162",162,"Black","Accepted"
"163",163,"Black","Accepted"
"164",164,"Black","Accepted"
"165",165,"Black","Accepted"
"166",166,"Black","Accepted"
"167",167,"Black","Accepted"
"168",168,"Black","Accepted"
"169",169,"Black","Accepted"
"170",170,"Black","Accepted"
"171",171,"Black","Accepted"
"172",172,"Black","Accepted"
"173",173,"Black","Accepted"
"174",174,"Black","Accepted"
"175",175,"Black","Accepted"
"176",176,"Black","Accepted"
"177",177,"Black","Accepted"
"178",178,"Black","Accepted"
"179",179,"Black","Accepted"
"180",180,"Black","Accepted"
"181",181,"Black","Accepted"
"182",182,"Black","Accepted"
"183",183,"Black","Accepted"
"184",184,"Black","Accepted"
"185",185,"Black","Accepted"
"186",186,"Black","Accepted"
"187",187,"Black","Accepted"
"188",188,"Black","Accepted"
"189",189,"Black","Accepted"
"190",190,"Black","Accepted"
"191",191,"Black","Accepted"
"192",192,"Black","Accepted"
"193",193,"Black","Accepted"
"194",194,"Black","Accepted"
"195",195,"Black","Accepted"
"196",196,"Black","Accepted"
"197",197,"Black","Accepted"
"198",198,"Black","Accepted"
"199",199,"Black","Accepted"
"200",200,"Black","Accepted"
"201",201,"Black","Accepted"
"202",202,"Black","Accepted"
"203",203,"Black","Accepted"
"204",204,"Black","Accepted"
"205",205,"Black","Accepted"
"206",206,"Black","Accepted"
"207",207,"Black","Accepted"
"208",208,"Black","Accepted"
"209",209,"Black","Accepted"
"210",210,"Black","Accepted"
"211",211,"Black","Accepted"
"212",212,"Black","Accepted"
"213",213,"Black","Accepted"
"214",214,"Black","Accepted"
"215",215,"Black","Accepted"
"216",216,"Black","Accepted"
"217",217,"Black","Accepted"
"218",218,"Black","Accepted"
"219",219,"Black","Accepted"
"220",220,"Black","Accepted"
"221",221,"Black","Accepted"
"222",222,"Black","Accepted"
"223",223,"Black","Accepted"
"224",224,"Black","Accepted"
"225",225,"Black","Accepted"
"226",226,"Black","Accepted"
"227",227,"Black","Accepted"
"228",228,"Black","Accepted"
"229",229,"Black","Accepted"
"230",230,"Black","Accepted"
"231",231,"Black","Accepted"
"232",232,"Black","Accepted"
"233",233,"Black","Accepted"
"234",234,"Black","Accepted"
"235",235,"Black","Accepted"
"236",236,"Black","Accepted"
"237",237,"Black","Accepted"
"238",238,"Black","Accepted"
"239",239,"Black","Accepted"
"240",240,"Black","Accepted"
"241",241,"Black","Accepted"
"242",242,"Black","Accepted"
"243",243,"Black","Accepted"
"244",244,"Black","Accepted"
"245",245,"Black","Accepted"
"246",246,"Black","Accepted"
"247",247,"Black","Accepted"
"248",248,"Black","Accepted"
"249",249,"Black","Accepted"
"250",250,"Black","Accepted"
"251",251,"Black","Accepted"
"252",252,"Black","Accepted"
"253",253,"Black","Accepted"
"254",254,"Black","Accepted"
"255",255,"Black","Accepted"
"256",256,"Black","Accepted"
"257",257,"Black","Accepted"
"258",258,"Black","Accepted"
"259",259,"Black","Accepted"
"260",260,"Black","Accepted"
"261",261,"Black","Accepted"
"262",262,"Black","Accepted"
"263",263,"Black","Accepted"
"264",264,"Black","Accepted"
"265",265,"Black","Accepted"
"266",266,"Black","Accepted"
"267",267,"Black","Accepted"
"268",268,"Black","Accepted"
"269",269,"Black","Accepted"
"270",270,"Black","Accepted"
"271",271,"Black","Accepted"
"272",272,"Black","Accepted"
"273",273,"Black","Accepted"
"274",274,"Black","Accepted"
"275",275,"Black","Accepted"
"276",276,"Black","Accepted"
"277",277,"Black","Accepted"
"278",278,"Black","Accepted"
"279",279,"Black","Accepted"
"280",280,"Black","Accepted"
"281",281,"Black","Accepted"
"282",282,"Black","Accepted"
"283",283,"Black","Accepted"
"284",284,"Black","Accepted"
"285",285,"Black","Accepted"
"286",286,"Black","Accepted"
"287",287,"Black","Accepted"
"288",288,"Black","Accepted"
"289",289,"Black","Accepted"
"290",290,"Black","Accepted"
"291",291,"Black","Accepted"
"292",292,"Black","Accepted"
"293",293,"Black","Accepted"
"294",294,"Black","Accepted"
"295",295,"Black","Accepted"
"296",296,"Black","Accepted"
"297",297,"Black","Accepted"
"298",298,"Black","Accepted"
"299",299,"Black","Accepted"
"300",300,"Black","Accepted"
"301",301,"Black","Accepted"
"302",302,"Black","Accepted"
"303",303,"Black","Accepted"
"304",304,"Black","Accepted"
"305",305,"Black","Accepted"
"306",306,"Black","Accepted"
"307",307,"Black","Accepted"
"308",308,"Black","Accepted"
"309",309,"Black","Accepted"
"310",310,"Black","Accepted"
"311",311,"Black","Accepted"
"312",312,"Black","Accepted"
"313",313,"Black","Accepted"
"314",314,"Black","Accepted"
"315",315,"Black","Accepted"
"316",316,"Black","Accepted"
"317",317,"Black","Accepted"
"318",318,"Black","Accepted"
"319",319,"Black","Accepted"
"320",320,"Black","Accepted"
"321",321,"Black","Accepted"
"322",322,"Black","Accepted"
"323",323,"Black","Accepted"
"324",324,"Black","Accepted"
"325",325,"Black","Accepted"
"326",326,"Black","Accepted"
"327",327,"Black","Accepted"
"328",328,"Black","Accepted"
"329",329,"Black","Accepted"
"330",330,"Black","Accepted"
"331",331,"Black","Accepted"
"332",332,"Black","Accepted"
"333",333,"Black","Accepted"
"334",334,"Black","Accepted"
"335",335,"Black","Accepted"
"336",336,"Black","Accepted"
"337",337,"Black","Accepted"
"338",338,"Black","Accepted"
"339",339,"Black","Accepted"
"340",340,"Black","Accepted"
"341",341,"Black","Accepted"
"342",342,"Black","Accepted"
"343",343,"Black","Accepted"
"344",344,"Black","Accepted"
"345",345,"Black","Accepted"
"346",346,"Black","Accepted"
"347",347,"Black","Accepted"
"348",348,"Black","Accepted"
"349",349,"Black","Accepted"
"350",350,"Black","Accepted"
"351",351,"Black","Accepted"
"352",352,"Black","Accepted"
"353",353,"Black","Accepted"
"354",354,"Black","Accepted"
"355",355,"Black","Accepted"
"356",356,"Black","Accepted"
"357",357,"Black","Accepted"
"358",358,"Black","Accepted"
"359",359,"Black","Accepted"
"360",360,"Black","Accepted"
"361",361,"Black","Accepted"
"362",362,"Black","Accepted"
"363",363,"Black","Accepted"
"364",364,"Black","Accepted"
"365",365,"Black","Accepted"
"366",366,"Black","Accepted"
"367",367,"Black","Accepted"
"368",368,"Black","Accepted"
"369",369,"Black","Accepted"
"370",370,"Black","Accepted"
"371",371,"Black","Accepted"
"372",372,"Black","Accepted"
"373",373,"Black","Accepted"
"374",374,"Black","Accepted"
"375",375,"Black","Accepted"
"376",376,"Black","Accepted"
"377",377,"Black","Accepted"
"378",378,"Black","Accepted"
"379",379,"Black","Accepted"
"380",380,"Black","Accepted"
"381",381,"Black","Accepted"
"382",382,"Black","Accepted"
"383",383,"Black","Accepted"
"384",384,"Black","Accepted"
"385",385,"Black","Accepted"
"386",386,"Black","Accepted"
"387",387,"Black","Accepted"
"388",388,"Black","Accepted"
"389",389,"Black","Accepted"
"390",390,"Black","Accepted"
"391",391,"Black","Accepted"
"392",392,"Black","Accepted"
"393",393,"Black","Accepted"
"394",394,"Black","Accepted"
"395",395,"Black","Accepted"
"396",396,"Black","Accepted"
"397",397,"Black","Accepted"
"398",398,"Black","Accepted"
"399",399,"Black","Accepted"
"400",400,"Black","Accepted"
"401",401,"Black","Accepted"
"402",402,"Black","Accepted"
"403",403,"Black","Accepted"
"404",404,"Black","Accepted"
"405",405,"Black","Accepted"
"406",406,"Black","Accepted"
"407",407,"Black","Accepted"
"408",408,"Black","Accepted"
"409",409,"Black","Accepted"
"410",410,"Black","Accepted"
"411",411,"Black","Accepted"
"412",412,"Black","Accepted"
"413",413,"Black","Accepted"
"414",414,"Black","Accepted"
"415",415,"Black","Accepted"
"416",416,"Black","Accepted"
"417",417,"Black","Accepted"
"418",418,"Black","Accepted"
"419",419,"Black","Accepted"
"420",420,"Black","Accepted"
"421",421,"Black","Accepted"
"422",422,"Black","Accepted"
"423",423,"Black","Accepted"
"424",424,"Black","Accepted"
"425",425,"Black","Accepted"
"426",426,"Black","Accepted"
"427",427,"Black","Accepted"
"428",428,"Black","Accepted"
"429",429,"Black","Accepted"
"430",430,"Black","Accepted"
"431",431,"Black","Accepted"
"432",432,"Black","Accepted"
"433",433,"Black","Accepted"
"434",434,"Black","Accepted"
"435",435,"Black","Accepted"
"436",436,"Black","Accepted"
"437",437,"Black","Accepted"
"438",438,"Black","Accepted"
"439",439,"Black","Accepted"
"440",440,"Black","Accepted"
"441",441,"Black","Accepted"
"442",442,"Black","Accepted"
"443",443,"Black","Accepted"
"444",444,"Black","Accepted"
"445",445,"Black","Accepted"
"446",446,"Black","Accepted"
"447",447,"Black","Accepted"
"448",448,"Black","Accepted"
"449",449,"Black","Accepted"
"450",450,"Black","Accepted"
"451",451,"Black","Accepted"
"452",452,"Black","Accepted"
"453",453,"Black","Accepted"
"454",454,"Black","Accepted"
"455",455,"Black","Accepted"
"456",456,"Black","Accepted"
"457",457,"Black","Accepted"
"458",458,"Black","Accepted"
"459",459,"Black","Accepted"
"460",460,"Black","Accepted"
"461",461,"Black","Accepted"
"462",462,"Black","Accepted"
"463",463,"Black","Accepted"
"464",464,"Black","Accepted"
"465",465,"Black","Accepted"
"466",466,"Black","Accepted"
"467",467,"Black","Accepted"
"468",468,"Black","Accepted"
"469",469,"Black","Accepted"
"470",470,"Black","Accepted"
"471",471,"Black","Accepted"
"472",472,"Black","Accepted"
"473",473,"Black","Accepted"
"474",474,"Black","Accepted"
"475",475,"Black","Accepted"
"476",476,"Black","Accepted"
"477",477,"Black","Accepted"
"478",478,"Black","Accepted"
"479",479,"Black","Accepted"
"480",480,"Black","Accepted"
"481",481,"Black","Accepted"
"482",482,"Black","Accepted"
"483",483,"Black","Accepted"
"484",484,"Black","Accepted"
"485",485,"Black","Accepted"
"486",486,"Black","Accepted"
"487",487,"Black","Accepted"
"488",488,"Black","Accepted"
"489",489,"Black","Accepted"
"490",490,"Black","Accepted"
"491",491,"Black","Accepted"
"492",492,"Black","Accepted"
"493",493,"Black","Accepted"
"494",494,"Black","Accepted"
"495",495,"Black","Accepted"
"496",496,"Black","Accepted"
"497",497,"Black","Accepted"
"498",498,"Black","Accepted"
"499",499,"Black","Accepted"
"500",500,"Black","Accepted"
"501",501,"Black","Accepted"
"502",502,"Black","Accepted"
"503",503,"Black","Accepted"
"504",504,"Black","Accepted"
"505",505,"Black","Accepted"
"506",506,"Black","Accepted"
"507",507,"Black","Accepted"
"508",508,"Black","Accepted"
"509",509,"Black","Accepted"
"510",510,"Black","Accepted"
"511",511,"Black","Accepted"
"512",512,"Black","Accepted"
"513",513,"Black","Accepted"
"514",514,"Black","Accepted"
"515",515,"Black","Accepted"
"516",516,"Black","Accepted"
"517",517,"Black","Accepted"
"518",518,"Black","Accepted"
"519",519,"Black","Accepted"
"520",520,"Black","Accepted"
"521",521,"Black","Accepted"
"522",522,"Black","Accepted"
"523",523,"Black","Accepted"
"524",524,"Black","Accepted"
"525",525,"Black","Accepted"
"526",526,"Black","Accepted"
"527",527,"Black","Accepted"
"528",528,"Black","Accepted"
"529",529,"Black","Accepted"
"530",530,"Black","Accepted"
"531",531,"Black","Accepted"
"532",532,"Black","Accepted"
"533",533,"Black","Accepted"
"534",534,"Black","Accepted"
"535",535,"Black","Accepted"
"536",536,"Black","Accepted"
"537",537,"Black","Accepted"
"538",538,"Black","Accepted"
"539",539,"Black","Accepted"
"540",540,"Black","Accepted"
"541",541,"Black","Accepted"
"542",542,"Black","Accepted"
"543",543,"Black","Accepted"
"544",544,"Black","Accepted"
