Ozone,Wind,Temp,Date
41,7.4,67,1973-05-01
36,8,72,1973-05-02
12,12.6,74,1973-05-03
18,11.5,62,1973-05-04
NA,14.3,56,1973-05-05
28,14.9,66,1973-05-06
23,8.6,65,1973-05-07
19,13.8,59,1973-05-08
8,20.1,61,1973-05-09
NA,8.6,69,1973-05-10
7,6.9,74,1973-05-11
16,9.7,69,1973-05-12
11,9.2,66,1973-05-13
14,10.9,68,1973-05-14
18,13.2,58,1973-05-15
14,11.5,64,1973-05-16
34,12,66,1973-05-17
6,18.4,57,1973-05-18
30,11.5,68,1973-05-19
11,9.7,62,1973-05-20
1,9.7,59,1973-05-21
11,16.6,73,1973-05-22
4,9.7,61,1973-05-23
32,12,61,1973-05-24
NA,16.6,57,1973-05-25
NA,14.9,58,1973-05-26
NA,8,57,1973-05-27
23,12,67,1973-05-28
45,14.9,81,1973-05-29
115,5.7,79,1973-05-30
37,7.4,76,1973-05-31
NA,8.6,78,1973-06-01
NA,9.7,74,1973-06-02
NA,16.1,67,1973-06-03
NA,9.2,84,1973-06-04
NA,8.6,85,1973-06-05
NA,14.3,79,1973-06-06
29,9.7,82,1973-06-07
NA,6.9,87,1973-06-08
71,13.8,90,1973-06-09
39,11.5,87,1973-06-10
NA,10.9,93,1973-06-11
NA,9.2,92,1973-06-12
23,8,82,1973-06-13
NA,13.8,80,1973-06-14
NA,11.5,79,1973-06-15
21,14.9,77,1973-06-16
37,20.7,72,1973-06-17
20,9.2,65,1973-06-18
12,11.5,73,1973-06-19
13,10.3,76,1973-06-20
NA,6.3,77,1973-06-21
NA,1.7,76,1973-06-22
NA,4.6,76,1973-06-23
NA,6.3,76,1973-06-24
NA,8,75,1973-06-25
NA,8,78,1973-06-26
NA,10.3,73,1973-06-27
NA,11.5,80,1973-06-28
NA,14.9,77,1973-06-29
NA,8,83,1973-06-30
135,4.1,84,1973-07-01
49,9.2,85,1973-07-02
32,9.2,81,1973-07-03
NA,10.9,84,1973-07-04
64,4.6,83,1973-07-05
40,10.9,83,1973-07-06
77,5.1,88,1973-07-07
97,6.3,92,1973-07-08
97,5.7,92,1973-07-09
85,7.4,89,1973-07-10
NA,8.6,82,1973-07-11
10,14.3,73,1973-07-12
27,14.9,81,1973-07-13
NA,14.9,91,1973-07-14
7,14.3,80,1973-07-15
48,6.9,81,1973-07-16
35,10.3,82,1973-07-17
61,6.3,84,1973-07-18
79,5.1,87,1973-07-19
63,11.5,85,1973-07-20
16,6.9,74,1973-07-21
NA,9.7,81,1973-07-22
NA,11.5,82,1973-07-23
80,8.6,86,1973-07-24
108,8,85,1973-07-25
20,8.6,82,1973-07-26
52,12,86,1973-07-27
82,7.4,88,1973-07-28
50,7.4,86,1973-07-29
64,7.4,83,1973-07-30
59,9.2,81,1973-07-31
39,6.9,81,1973-08-01
9,13.8,81,1973-08-02
16,7.4,82,1973-08-03
78,6.9,86,1973-08-04
35,7.4,85,1973-08-05
66,4.6,87,1973-08-06
122,4,89,1973-08-07
89,10.3,90,1973-08-08
110,8,90,1973-08-09
NA,8.6,92,1973-08-10
NA,11.5,86,1973-08-11
44,11.5,86,1973-08-12
28,11.5,82,1973-08-13
65,9.7,80,1973-08-14
NA,11.5,79,1973-08-15
22,10.3,77,1973-08-16
59,6.3,79,1973-08-17
23,7.4,76,1973-08-18
31,10.9,78,1973-08-19
44,10.3,78,1973-08-20
21,15.5,77,1973-08-21
9,14.3,72,1973-08-22
NA,12.6,75,1973-08-23
45,9.7,79,1973-08-24
168,3.4,81,1973-08-25
73,8,86,1973-08-26
NA,5.7,88,1973-08-27
76,9.7,97,1973-08-28
118,2.3,94,1973-08-29
84,6.3,96,1973-08-30
85,6.3,94,1973-08-31
96,6.9,91,1973-09-01
78,5.1,92,1973-09-02
73,2.8,93,1973-09-03
91,4.6,93,1973-09-04
47,7.4,87,1973-09-05
32,15.5,84,1973-09-06
20,10.9,80,1973-09-07
23,10.3,78,1973-09-08
21,10.9,75,1973-09-09
24,9.7,73,1973-09-10
44,14.9,81,1973-09-11
21,15.5,76,1973-09-12
28,6.3,77,1973-09-13
9,10.9,71,1973-09-14
13,11.5,71,1973-09-15
46,6.9,78,1973-09-16
18,13.8,67,1973-09-17
13,10.3,76,1973-09-18
24,10.3,68,1973-09-19
16,8,82,1973-09-20
13,12.6,64,1973-09-21
23,9.2,71,1973-09-22
36,10.3,81,1973-09-23
7,10.3,69,1973-09-24
14,16.6,63,1973-09-25
30,6.9,70,1973-09-26
NA,13.2,77,1973-09-27
14,14.3,75,1973-09-28
18,8,76,1973-09-29
20,11.5,68,1973-09-30
