session,rcid,abstain,yes,no,importantvote,date,unres,amend,para,short,descr,me,nu,di,hr,co,ec
1,3,4,29,18,0,1/1/46,R/1/66,1,0,"AMENDMENTS, RULES OF PROCEDURE","TO ADOPT A CUBAN AMENDMENT TO THE UK PROPOSAL REFERRING THE PROVISIONAL RULES OF PROCEDURE AND ANY AMENDMENTS THEREOF TO THE 6TH COMMITTEE, SAID AMENDMENT PRESCRIBING A 1-WEEK TIME LIMIT WITHIN WHICH THE 6TH COMM. MUST SUBMIT ITS REPORT ON THE",0,0,0,0,0,0
1,4,8,9,34,0,1/2/46,R/1/79,0,0,SECURITY COUNCIL ELECTIONS,"TO ADOPT A USSR PROPOSAL ADJOURNING DEBATE ON AND POSTPONINGELECTIONS OF THE NON-PERMANENT MEMBERS OF THE SECURITY COUNCIL, TO THE FOLLOWING WEEK.",0,0,0,0,0,0
1,5,1,28,22,0,1/4/46,R/1/98,0,0,VOTING PROCEDURE,"TO ADOPT THE KOREAN PROPOSAL THAT INVALID BALLOTS BE INCLUDED IN THE TOTAL NUMBER OF \MEMBERS PRESENT AND VOTING\\, IN CALCULATING THE MAJORITY VOTE.\""""",0,0,0,0,0,0
1,6,10,12,27,0,1/4/46,R/1/107,0,0,DECLARATION OF HUMAN RIGHTS,TO ADOPT A CUBAN PROPOSAL (A/3-C) THAT AN ITEM ON A DECLARATION OF THE RIGHTS AND DUTIES OF MAN BE TABLED.,0,0,0,1,0,0
1,7,0,25,18,0,1/2/46,R/1/295,1,0,GENERAL ASSEMBLY ELECTIONS,"TO ADOPT A 6TH COMMITTEE AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT PROVIDES THAT RULE 73 SHOULD END WITH:\THERE SHALL BE NO NOMINATIONS.\\""	0	0	0	0	0	0",,,,,,
1,8,2,38,1,0,1/5/46,R/1/297,1,0,ECOSOC POWERS,"TO ADOPT A SECOND 6TH COMM. AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT EPLACES PROVISIONAL RULE T WITH A NEW TEXT AUTHORIZING THE ECONOMIC & SOC. COUNCIL TO CALL INTERNATIONAL CONFERENCES ON ANY MATTER WITHIN ITS CO",0,0,0,0,0,1
1,9,2,45,0,0,2/5/46,R/1/329,0,0,POST-WAR RECONSTRUCTION,TO OPEN THE DISCUSSION ON THE POLISH DRAFT RESOLUTION (A/22) PROVIDING FOR ECO. & SOC. COUNCIL STUDY AND ASSEMBLY DISCUSSION OF THE RECONSTRUCTION OF U.N. MEMBER-COUNTRIES DEVASTATED BY THE WAR.,0,0,0,0,0,0
1,10,0,46,2,0,2/5/46,R/1/361,1,1,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT GENERAL COMM. DRAFT RESOLUTION (A/40) AS AMENDED BY A NORWEGIAN ORAL PROPOSAL (REPLACING \TAKE INTO ACCOUNT THE LETTER AND SPIRIT\\ IN 3RD PARAGRAPH WITH, \\""ACT IN ACCORDANCE WITH THE LETTER AND THE SPIRIT\\""), RECOMMENDING UN MEMBERS T""",0,0,0,0,0,0
1,11,0,41,0,0,2/5/46,R/1/376,0,0,TRUSTEESHIP AMENDMENTS,"TO ADOPT DRAFT RESOLUTIONS I AND II AS A WHOLE, OF THE 4TH COMM. REPORT (A/34) ON NON-SELF-GOVERNING TERRITORIES. RESOLUTION I PROVIDES TO PROMOTE THE POLITICAL, SOCIAL, ECONOMIC, AND EDUCATIONAL ASPIRATIONS OF NON-SELF-GOVERNING PEOPLES THROUG",0,0,0,0,1,0
1,12,3,21,22,0,2/6/46,R/1/394,1,1,COUNCIL MEMBER TERM LENGTH,"TO ADOPT PARAGRAPH (A) OF THE 6TH COMM. DRAFT RESOLUTION  A/38) ON TERMS OF OFFICE OF MEMBERS OF UN COUNCILS, WHICH  PARAGRAPH AMENDS PROVISIONAL RULE 78 BY BEGINNING THE TERM OF OFFICE IMMEDIATELY UPON ELECTION TO A VACANT SEAT, OR IMMEDIATELY",0,0,0,0,0,0
1,13,2,10,31,0,2/1/46,R/1/434,1,1,"PROPAGANDA,  REFUGEE CAMPS",TO ADOPT USSR AMMENDMENT (A/C.3/19) TO A 3RD COMM. DRAFT RESOLUTION (A/45) REFERRING THE PROBLEM OF REFUGEES AND DISPLACED PERSONS TO E.S.C. FOR STUDY AND RECOMMENDATIONS. SAID AMENDMENT WOULD INSERT A NEW SUB-PARAGRAPH C(IV) READING:  \NO PROP,0,0,0,0,0,0
1,14,5,7,30,0,2/1/46,R/1/435,1,1,"PERSONNEL, REFUGEE CAMPS","TO ADOPT A USSR AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING A NEW SUB-PARAGRAPH C(V) AS FOLLOWS:  \THE ADMINISTRATIVE PERSONNEL OF REFUGEE AND DISPLACED PERSONS' CAMPS SHOULD BE COMPRISED PRIMARILY OF REPRES",0,0,0,0,0,0
1,15,6,10,26,0,2/1/46,R/1/435,1,1,"QUISLINGS, TRAITORS AND WAR CRIMINALS","TO ADOPT USSR REVISED-AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING THE FOLLOWING TEXT TO PARAGRAPH (D):  \QUISLINGS, TRAITORS AND WAR CRIMINALS SHOULD NOT BE REGARDED AS REFUGEES WHO ARE ENTITLED TO GET PROTE",0,0,0,0,0,0
1,16,7,7,34,0,2/2/46,R/1/467,1,0,TERM OF COUNCIL MEMBERS,"TO ADOPT URUGUAY (ORAL) AMENDMENT TO THE GENERAL COMM. DRAFT RESOLUTION (A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR UN COUNCIL MEMBERS ELECTED IN JAN. 1946 UNDER THE PROVISIONAL RULES OF PROCEDURE, SAID AMENDMENT PRESCRIBING INSTEAD AN 8",0,0,0,0,0,0
1,17,2,27,19,0,2/2/46,R/1/467B,1,0,TERM OF COUNCIL MEMBERS,"TO ADOPT NEW ZEALAND (ORAL) AMENDMENT TO GENERAL COMM DRAFT RESOLUTION(A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR COUNCIL MEMBERS ELECTED IN JAN. 1946, SAID AMENDMENT PRESCRIBING INSTEAD A 12-MONTH TERM OF OFFICE.",0,0,0,0,0,0
1,18,9,12,26,0,2/3/46,R/1/532,1,0,ECOSOC CONSULTANTS,TO ADOPT USSR (ORAL) AMENDMENT REPLACING THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) WITH THE FOLLOWING:  \TAKING INTO CONSIDERATION THE QUESTION RAISED BY THE WORLD FEDERATION OF TRADE UNIONS CONCERNING ITS PARTICIPATION IN THE WORK OF THE ECO,0,0,0,0,0,1
1,19,11,32,6,0,2/3/46,R/1/534,0,0,ECOSOC CONSULTANTS,"TO ADOPT THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) PROVIDING THAT THE E.S.C. ARRANGE FOR CONSULTATIVE COLLABORATION WITH NON-GOVERNMENTAL ORGANIZATIONS, INTERNATIONAL, NATIONAL OR REGIONAL.",0,0,0,0,0,1
1,20,1,29,24,0,12/1/46,R/1/1060,0,0,INDIANS IN SOUTH AFRICA,TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON THE QUESTION OF TREATMENT OF INDIANS IN THE UNION OF SOUTH AFRICA.,0,0,0,0,0,0
1,21,2,21,31,0,12/1/46,R/1/1061A,1,0,INDIANS IN SOUTH AFRICA,"TO ADOPT S. AFRICA AMENDMENT (A/205/ADD.1) TO JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205), PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITYWITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMEN",0,0,0,0,0,0
1,22,7,32,15,0,12/1/46,R/1/1061B,0,0,INDIANS IN SOUTH AFRICA,TO ADOPT JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205) PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITY WITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMENTS BETWEEN INDIA AND SOUTH AFRICA.,0,0,0,0,0,0
1,23,13,34,6,0,12/5/46,R/1/1222,0,0,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT WHOLE 1ST COMM. DRAFT RESOLUTION (A/241) RECOMMENDING THE SECURITY COUNCIL TO CONSIDER ADEQUATE REMEDIAL MEASURES, IF THERE SHOULD NOT BE ESTABLISHED IN SPAIN WITHIN A REASONABLE PERIOD OF TIME A FREELY-ELECTED, FULLY-REPRESENTATIVE DE",0,0,0,0,0,0
